Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.5] [0.03424107] 0.2920523467157032 [0.0442568]
x_err,y_err, velCond, z_err [0.5] [0.03089622] 0.31435868025016267 [0.04757443]
x_err,y_err, velCond, z_err [0.5] [0.02530888] 0.6423938821269728 [0.04216734]
x_err,y_err, velCond, z_err [0.5] [0.02269098] 0.2967744708361439 [0.04842871]
x_err,y_err, velCond, z_err [0.5] [0.01774298] 0.3329900559983149 [0.05281509]
x_err,y_err, velCond, z_err [0.5] [0.01585323] 0.34338891837636903 [0.0490838]
x_err,y_err, velCond, z_err [0.5] [0.00952013] 0.6304188731903132 [0.05371141]
x_err,y_err, velCond, z_err [0.5] [0.00677916] 0.28294513193384974 [0.05399008]
x_err,y_err, velCond, z_err [0.5] [0.00475491] 0.3120791206862648 [0.05725423]
x_err,y_err, velCond, z_err [0.5] [0.00178468] 0.4246308765815804 [0.06870362]
x_err,y_err, velCond, z_err [0.5] [0.00574615] 0.6405725297281095 [0.06222524]
x_err,y_err, velCond, z_err [0.5] [0.00987305] 0.3267261635304025 [0.0625843]
x_err,y_err, velCond, z_err [0.5] [0.01171728] 0.33883820010921656 [0.05884844]
x_err,y_err, velCond, z_err [0.5] [0.0169678] 0.6708420804127171 [0.05244078]
x_err,y_err, velCond, z_err [0.5] [0.02063042] 0.32963743981520144 [0.05677683]
x_err,y_err, velCond, z_err [0.5] [0.02638044] 0.3478155626582842 [0.06418191]
x_err,y_err, velCond, z_err [0.5] [0.0271993] 0.48613704685082487 [0.05040335]
x_err,y_err, velCond, z_err [0.5] [0.02826562] 0.3653933751404277 [0.04363094]
x_err,y_err, velCond, z_err [0.5] [0.03642684] 0.6461288046943325 [0.04434101]
x_err,y_err, velCond, z_err [0.5] [0.03977441] 0.32931568255475135 [0.04166443]
x_err,y_err, velCond, z_err [0.5] [0.04175288] 0.32169761368129507 [0.03892827]
x_err,y_err, velCond, z_err [0.5] [0.04853188] 0.63413131936963 [0.03957773]
x_err,y_err, velCond, z_err [0.5] [0.04772993] 0.47175379623803826 [0.02571587]
x_err,y_err, velCond, z_err [0.5] [0.05042097] 0.3105829107620943 [0.0260092]
x_err,y_err, velCond, z_err [0.5] [0.05700392] 0.42825903892864337 [0.03647632]
